w1000,w100,w10,w3,w1,w01,w001,w0001
-10.46294006,-2.910103463,-1.087321738,-0.896295329,-0.765596024,-0.593594034,-0.778249862,-0.557616717
-10.53096362,-2.645393233,-1.12661155,-0.720050265,-0.795592435,-0.648301511,-0.571091053,-0.595051748
-10.78709759,-3.128326634,-1.032791255,-0.830061285,-0.78329966,-0.665391553,-0.628283302,-0.636456805
-10.69530559,-2.809127201,-1.075867831,-0.875380356,-0.757812387,-0.607396754,-0.490541254,-0.705090896
-10.53037843,-2.728433802,-0.961380051,-0.761836404,-0.756300133,-0.550200115,-0.618933941,-0.508744752
-10.70687,-2.79578858,-1.187824585,-0.753659934,-0.670128431,-0.619201048,-0.838285019,-0.573747539
-9.844826406,-2.988761615,-1.095577012,-0.934937817,-0.786620975,-0.548279335,-0.496776982,-0.679661278
-10.31856764,-2.621653881,-1.015249436,-0.806202347,-0.793140138,-0.682691002,-0.58519823,-0.504987029
-10.36804439,-2.993286645,-1.062399644,-0.734182171,-0.759986831,-0.711143252,-0.623397402,-0.895230387
-10.20969289,-3.146501919,-0.960887207,-0.832752965,-0.700975491,-0.763450369,-0.629140787,-0.530994499
-10.36897538,-2.696900189,-0.881039626,-0.841476127,-0.72457283,-0.700410049,-0.689550979,-0.68573897
-10.66040307,-3.209591874,-0.976214732,-0.848641255,-0.711648685,-0.703999445,-0.662926855,-0.575109357
-10.38887837,-2.806736377,-1.129338552,-0.791767283,-0.728451756,-0.679498053,-0.596875994,-0.512767436
-10.69965275,-2.714356333,-1.063569594,-0.751468071,-0.742129163,-0.682497888,-0.646125371,-0.734206381
-10.58568879,-2.815602311,-1.14190472,-0.783046589,-0.749937195,-0.716189323,-0.531115591,-0.583169193
-10.64709936,-3.094508751,-1.136901889,-0.757672469,-0.776362573,-0.633924698,-0.569246924,-0.681561485
-10.23594132,-2.767133904,-1.085135248,-0.80355401,-0.741735279,-0.789950866,-0.539824911,-0.470292985
